Tanggal,Tahun,Bulan,Hari,Kategori,Nama_Produk,Lokasi_Toko,Metode_Bayar,Harga_Satuan,Qty,Diskon_IDR,Total_Penjualan
2022-05-08,2022,5,Sunday,Film,Instax Mini Film (20s),Shopee Mall,E-Wallet (Gopay/OVO),185000,3,0,555000
2022-05-08,2022,5,Sunday,Kamera,Instax Mini Evo,Surabaya Branch,Kartu Kredit,2900000,1,145000,2755000
2022-05-08,2022,5,Sunday,Kamera,Instax Mini 11,Surabaya Branch,E-Wallet (Gopay/OVO),1100000,1,0,1100000
2022-05-08,2022,5,Sunday,Film,Instax Square Film (10s),Jakarta Official Store,Paylater,150000,1,0,150000
2022-05-08,2022,5,Sunday,Film,Instax Square Film (10s),Surabaya Branch,Paylater,150000,1,0,150000
2022-05-08,2022,5,Sunday,Film,Instax Mini Film (10s),Website,Transfer Bank,95000,3,0,285000
2022-05-09,2022,5,Monday,Film,Instax Square Film (10s),Shopee Mall,Paylater,150000,3,0,450000
2022-05-09,2022,5,Monday,Film,Instax Mini Film (20s),Shopee Mall,Transfer Bank,185000,1,0,185000
2022-05-09,2022,5,Monday,Aksesoris,Camera Case / Bag,Surabaya Branch,Transfer Bank,150000,2,0,300000
2022-05-09,2022,5,Monday,Aksesoris,Acrylic Frame,Tokopedia Official,Kartu Kredit,50000,2,0,100000
2022-05-09,2022,5,Monday,Film,Instax Square Film (10s),Website,Paylater,150000,2,0,300000
2022-05-09,2022,5,Monday,Film,Instax Square Film (10s),Tokopedia Official,Transfer Bank,150000,1,0,150000
2022-05-09,2022,5,Monday,Kamera,Instax Square SQ1,Tokopedia Official,Transfer Bank,1900000,1,0,1900000
2022-05-09,2022,5,Monday,Kamera,Instax Mini 11,Surabaya Branch,Paylater,1100000,1,0,1100000
2022-05-10,2022,5,Tuesday,Film,Instax Mini Film (20s),Website,Kartu Kredit,185000,1,0,185000
2022-05-10,2022,5,Tuesday,Film,Instax Mini Film (20s),Tokopedia Official,Kartu Kredit,185000,1,0,185000
2022-05-10,2022,5,Tuesday,Film,Instax Mini Film (20s),Tokopedia Official,Transfer Bank,185000,2,0,370000
2022-05-11,2022,5,Wednesday,Film,Instax Square Film (10s),Surabaya Branch,Paylater,150000,5,0,750000
2022-05-11,2022,5,Wednesday,Kamera,Instax Mini Evo,Website,E-Wallet (Gopay/OVO),2900000,1,0,2900000
2022-05-11,2022,5,Wednesday,Aksesoris,Instax Photo Album,Surabaya Branch,Kartu Kredit,75000,3,0,225000
2022-05-11,2022,5,Wednesday,Film,Instax Square Film (10s),Tokopedia Official,Transfer Bank,150000,1,0,150000
2022-05-11,2022,5,Wednesday,Film,Instax Mini Film (10s),Website,Transfer Bank,95000,2,0,190000
2022-05-11,2022,5,Wednesday,Film,Instax Mini Film (20s),Tokopedia Official,Paylater,185000,1,0,185000
2022-05-11,2022,5,Wednesday,Aksesoris,Instax Photo Album,Tokopedia Official,Paylater,75000,1,3750,71250
2022-05-11,2022,5,Wednesday,Aksesoris,Instax Photo Album,Website,E-Wallet (Gopay/OVO),75000,4,0,300000
2022-05-11,2022,5,Wednesday,Aksesoris,Instax Photo Album,Tokopedia Official,Kartu Kredit,75000,3,0,225000
2022-05-12,2022,5,Thursday,Film,Instax Mini Film (10s),Tokopedia Official,Transfer Bank,95000,2,9500,180500
2022-05-12,2022,5,Thursday,Film,Instax Mini Film (20s),Tokopedia Official,Transfer Bank,185000,2,0,370000
2022-05-12,2022,5,Thursday,Aksesoris,Acrylic Frame,Tokopedia Official,E-Wallet (Gopay/OVO),50000,5,0,250000
2022-05-12,2022,5,Thursday,Film,Instax Mini Film (20s),Surabaya Branch,Kartu Kredit,185000,1,0,185000
2022-05-12,2022,5,Thursday,Film,Instax Mini Film (20s),Surabaya Branch,Paylater,185000,2,0,370000
2022-05-12,2022,5,Thursday,Film,Instax Mini Film (20s),Jakarta Official Store,E-Wallet (Gopay/OVO),185000,3,0,555000
2022-05-12,2022,5,Thursday,Kamera,Instax Square SQ1,Surabaya Branch,Paylater,1900000,1,0,1900000
2022-05-13,2022,5,Friday,Kamera,Instax Square SQ1,Website,Paylater,1900000,1,0,1900000
2022-05-13,2022,5,Friday,Film,Instax Mini Film (10s),Surabaya Branch,E-Wallet (Gopay/OVO),95000,1,0,95000
2022-05-13,2022,5,Friday,Film,Instax Square Film (10s),Shopee Mall,Kartu Kredit,150000,1,7500,142500
2022-05-13,2022,5,Friday,Film,Instax Mini Film (20s),Surabaya Branch,E-Wallet (Gopay/OVO),185000,2,0,370000
2022-05-13,2022,5,Friday,Aksesoris,Instax Photo Album,Tokopedia Official,Transfer Bank,75000,1,0,75000
2022-05-13,2022,5,Friday,Film,Instax Square Film (10s),Shopee Mall,Paylater,150000,1,0,150000
2022-05-13,2022,5,Friday,Film,Instax Mini Film (20s),Jakarta Official Store,Transfer Bank,185000,1,0,185000
2022-05-13,2022,5,Friday,Film,Instax Mini Film (20s),Surabaya Branch,Paylater,185000,1,0,185000
2022-05-14,2022,5,Saturday,Film,Instax Square Film (10s),Shopee Mall,Transfer Bank,150000,1,7500,142500
2022-05-14,2022,5,Saturday,Aksesoris,Acrylic Frame,Jakarta Official Store,Transfer Bank,50000,2,0,100000
2022-05-14,2022,5,Saturday,Kamera,Instax Wide 300,Website,Kartu Kredit,1800000,1,0,1800000
2022-05-14,2022,5,Saturday,Aksesoris,Camera Case / Bag,Surabaya Branch,Kartu Kredit,150000,2,0,300000
2022-05-14,2022,5,Saturday,Film,Instax Square Film (10s),Jakarta Official Store,E-Wallet (Gopay/OVO),150000,1,0,150000
2022-05-15,2022,5,Sunday,Aksesoris,Instax Photo Album,Tokopedia Official,Kartu Kredit,75000,1,0,75000
2022-05-15,2022,5,Sunday,Film,Instax Mini Film (20s),Shopee Mall,E-Wallet (Gopay/OVO),185000,2,0,370000
2022-05-15,2022,5,Sunday,Film,Instax Square Film (10s),Tokopedia Official,Kartu Kredit,150000,3,22500,427500
2022-05-15,2022,5,Sunday,Aksesoris,Acrylic Frame,Shopee Mall,Transfer Bank,50000,5,0,250000
2022-05-15,2022,5,Sunday,Film,Instax Mini Film (20s),Surabaya Branch,Paylater,185000,2,0,370000
2022-05-15,2022,5,Sunday,Film,Instax Mini Film (20s),Website,Transfer Bank,185000,2,0,370000
2022-05-16,2022,5,Monday,Film,Instax Mini Film (10s),Shopee Mall,E-Wallet (Gopay/OVO),95000,2,0,190000
2022-05-16,2022,5,Monday,Kamera,Instax Square SQ1,Tokopedia Official,Paylater,1900000,1,0,1900000
2022-05-16,2022,5,Monday,Film,Instax Mini Film (20s),Shopee Mall,Transfer Bank,185000,2,0,370000
2022-05-16,2022,5,Monday,Aksesoris,Instax Photo Album,Website,Transfer Bank,75000,2,0,150000
2022-05-16,2022,5,Monday,Film,Instax Mini Film (10s),Jakarta Official Store,Transfer Bank,95000,1,0,95000
2022-05-16,2022,5,Monday,Film,Instax Mini Film (10s),Surabaya Branch,Transfer Bank,95000,1,0,95000
2022-05-16,2022,5,Monday,Film,Instax Square Film (10s),Shopee Mall,E-Wallet (Gopay/OVO),150000,1,0,150000
2022-05-16,2022,5,Monday,Film,Instax Mini Film (20s),Jakarta Official Store,E-Wallet (Gopay/OVO),185000,1,0,185000
2022-05-16,2022,5,Monday,Film,Instax Square Film (10s),Surabaya Branch,Paylater,150000,1,0,150000
2022-05-17,2022,5,Tuesday,Kamera,Instax Mini Evo,Tokopedia Official,Kartu Kredit,2900000,1,0,2900000
2022-05-17,2022,5,Tuesday,Film,Instax Square Film (10s),Surabaya Branch,Kartu Kredit,150000,1,0,150000
2022-05-17,2022,5,Tuesday,Aksesoris,Acrylic Frame,Jakarta Official Store,E-Wallet (Gopay/OVO),50000,1,0,50000
2022-05-17,2022,5,Tuesday,Film,Instax Mini Film (10s),Tokopedia Official,Transfer Bank,95000,4,0,380000
2022-05-18,2022,5,Wednesday,Film,Instax Mini Film (20s),Surabaya Branch,E-Wallet (Gopay/OVO),185000,1,0,185000
2022-05-18,2022,5,Wednesday,Film,Instax Square Film (10s),Jakarta Official Store,Transfer Bank,150000,5,0,750000
2022-05-18,2022,5,Wednesday,Kamera,Instax Square SQ1,Tokopedia Official,Kartu Kredit,1900000,1,0,1900000
2022-05-18,2022,5,Wednesday,Film,Instax Square Film (10s),Jakarta Official Store,E-Wallet (Gopay/OVO),150000,1,0,150000
2022-05-18,2022,5,Wednesday,Kamera,Instax Mini Evo,Surabaya Branch,Paylater,2900000,1,0,2900000
2022-05-18,2022,5,Wednesday,Aksesoris,Acrylic Frame,Jakarta Official Store,Kartu Kredit,50000,4,0,200000
2022-05-18,2022,5,Wednesday,Film,Instax Mini Film (20s),Shopee Mall,Paylater,185000,2,18500,351500
2022-05-19,2022,5,Thursday,Aksesoris,Instax Photo Album,Shopee Mall,Transfer Bank,75000,1,0,75000
2022-05-19,2022,5,Thursday,Film,Instax Mini Film (10s),Tokopedia Official,Transfer Bank,95000,1,0,95000
2022-05-19,2022,5,Thursday,Aksesoris,Acrylic Frame,Shopee Mall,Transfer Bank,50000,3,0,150000
2022-05-19,2022,5,Thursday,Aksesoris,Acrylic Frame,Website,Paylater,50000,3,0,150000
2022-05-19,2022,5,Thursday,Aksesoris,Acrylic Frame,Shopee Mall,E-Wallet (Gopay/OVO),50000,5,0,250000
2022-05-19,2022,5,Thursday,Aksesoris,Instax Photo Album,Shopee Mall,Kartu Kredit,75000,2,0,150000
2022-05-19,2022,5,Thursday,Film,Instax Mini Film (20s),Website,Transfer Bank,185000,2,0,370000
2022-05-19,2022,5,Thursday,Film,Instax Mini Film (10s),Surabaya Branch,Paylater,95000,2,0,190000
2022-05-19,2022,5,Thursday,Film,Instax Square Film (10s),Shopee Mall,Transfer Bank,150000,4,0,600000
2022-05-19,2022,5,Thursday,Kamera,Instax Wide 300,Surabaya Branch,Kartu Kredit,1800000,1,0,1800000
2022-05-20,2022,5,Friday,Film,Instax Mini Film (20s),Surabaya Branch,Kartu Kredit,185000,1,9250,175750
2022-05-20,2022,5,Friday,Aksesoris,Acrylic Frame,Surabaya Branch,Transfer Bank,50000,3,0,150000
2022-05-20,2022,5,Friday,Film,Instax Square Film (10s),Tokopedia Official,Paylater,150000,3,0,450000
2022-05-20,2022,5,Friday,Film,Instax Mini Film (20s),Surabaya Branch,Transfer Bank,185000,4,0,740000
2022-05-20,2022,5,Friday,Film,Instax Mini Film (10s),Website,Kartu Kredit,95000,2,0,190000
2022-05-20,2022,5,Friday,Film,Instax Square Film (10s),Shopee Mall,E-Wallet (Gopay/OVO),150000,2,0,300000
2022-05-20,2022,5,Friday,Film,Instax Square Film (10s),Website,E-Wallet (Gopay/OVO),150000,3,0,450000
2022-05-20,2022,5,Friday,Film,Instax Mini Film (10s),Website,Paylater,95000,2,0,190000
2022-05-20,2022,5,Friday,Film,Instax Square Film (10s),Surabaya Branch,Kartu Kredit,150000,3,0,450000
2022-05-20,2022,5,Friday,Aksesoris,Camera Case / Bag,Jakarta Official Store,Transfer Bank,150000,3,0,450000
2022-05-20,2022,5,Friday,Kamera,Instax Wide 300,Tokopedia Official,Kartu Kredit,1800000,1,0,1800000
2022-05-20,2022,5,Friday,Kamera,Instax Mini 11,Surabaya Branch,E-Wallet (Gopay/OVO),1100000,1,0,1100000
2022-05-21,2022,5,Saturday,Film,Instax Square Film (10s),Website,E-Wallet (Gopay/OVO),150000,3,0,450000
2022-05-21,2022,5,Saturday,Film,Instax Square Film (10s),Jakarta Official Store,Kartu Kredit,150000,2,0,300000
2022-05-21,2022,5,Saturday,Film,Instax Mini Film (10s),Jakarta Official Store,Kartu Kredit,95000,3,0,285000
2022-05-21,2022,5,Saturday,Aksesoris,Acrylic Frame,Jakarta Official Store,Transfer Bank,50000,1,0,50000
2022-05-21,2022,5,Saturday,Film,Instax Mini Film (20s),Shopee Mall,E-Wallet (Gopay/OVO),185000,2,0,370000
2022-05-21,2022,5,Saturday,Film,Instax Mini Film (20s),Website,Paylater,185000,2,0,370000
2022-05-21,2022,5,Saturday,Kamera,Instax Square SQ1,Shopee Mall,Kartu Kredit,1900000,1,0,1900000
2022-05-21,2022,5,Saturday,Film,Instax Mini Film (10s),Tokopedia Official,Kartu Kredit,95000,1,0,95000
2022-05-21,2022,5,Saturday,Film,Instax Mini Film (10s),Shopee Mall,E-Wallet (Gopay/OVO),95000,3,0,285000
2022-05-21,2022,5,Saturday,Film,Instax Square Film (10s),Surabaya Branch,E-Wallet (Gopay/OVO),150000,2,15000,285000
2022-05-21,2022,5,Saturday,Film,Instax Square Film (10s),Jakarta Official Store,E-Wallet (Gopay/OVO),150000,3,0,450000
2022-05-21,2022,5,Saturday,Film,Instax Mini Film (20s),Jakarta Official Store,Paylater,185000,1,0,185000
2022-05-22,2022,5,Sunday,Film,Instax Square Film (10s),Surabaya Branch,E-Wallet (Gopay/OVO),150000,2,0,300000
2022-05-22,2022,5,Sunday,Film,Instax Mini Film (10s),Shopee Mall,Paylater,95000,3,0,285000
2022-05-22,2022,5,Sunday,Film,Instax Mini Film (20s),Website,E-Wallet (Gopay/OVO),185000,3,0,555000
2022-05-22,2022,5,Sunday,Film,Instax Square Film (10s),Jakarta Official Store,E-Wallet (Gopay/OVO),150000,2,0,300000
2022-05-22,2022,5,Sunday,Film,Instax Mini Film (10s),Shopee Mall,Paylater,95000,2,0,190000
2022-05-22,2022,5,Sunday,Film,Instax Mini Film (10s),Surabaya Branch,E-Wallet (Gopay/OVO),95000,4,0,380000
2022-05-23,2022,5,Monday,Film,Instax Mini Film (10s),Surabaya Branch,Transfer Bank,95000,2,0,190000
2022-05-23,2022,5,Monday,Film,Instax Mini Film (20s),Jakarta Official Store,Kartu Kredit,185000,4,0,740000
2022-05-23,2022,5,Monday,Film,Instax Mini Film (20s),Jakarta Official Store,Kartu Kredit,185000,5,0,925000
2022-05-23,2022,5,Monday,Kamera,Instax Mini Evo,Website,Transfer Bank,2900000,1,0,2900000
2022-05-23,2022,5,Monday,Film,Instax Mini Film (10s),Tokopedia Official,Kartu Kredit,95000,1,0,95000
2022-05-23,2022,5,Monday,Film,Instax Mini Film (10s),Shopee Mall,Kartu Kredit,95000,1,0,95000
2022-05-23,2022,5,Monday,Aksesoris,Acrylic Frame,Surabaya Branch,Transfer Bank,50000,1,0,50000
2022-05-23,2022,5,Monday,Film,Instax Square Film (10s),Website,Kartu Kredit,150000,2,0,300000
2022-05-24,2022,5,Tuesday,Kamera,Instax Mini 11,Tokopedia Official,Transfer Bank,1100000,1,0,1100000
2022-05-24,2022,5,Tuesday,Aksesoris,Instax Photo Album,Shopee Mall,Kartu Kredit,75000,1,0,75000
2022-05-24,2022,5,Tuesday,Film,Instax Square Film (10s),Surabaya Branch,Paylater,150000,3,0,450000
2022-05-24,2022,5,Tuesday,Film,Instax Square Film (10s),Jakarta Official Store,Kartu Kredit,150000,2,0,300000
2022-05-25,2022,5,Wednesday,Film,Instax Mini Film (20s),Shopee Mall,Transfer Bank,185000,3,0,555000
2022-05-25,2022,5,Wednesday,Film,Instax Mini Film (20s),Jakarta Official Store,Transfer Bank,185000,2,0,370000
2022-05-25,2022,5,Wednesday,Film,Instax Mini Film (20s),Surabaya Branch,Transfer Bank,185000,2,0,370000
2022-05-25,2022,5,Wednesday,Film,Instax Mini Film (10s),Tokopedia Official,E-Wallet (Gopay/OVO),95000,3,0,285000
2022-05-25,2022,5,Wednesday,Film,Instax Mini Film (20s),Tokopedia Official,E-Wallet (Gopay/OVO),185000,2,0,370000
2022-05-25,2022,5,Wednesday,Aksesoris,Camera Case / Bag,Jakarta Official Store,E-Wallet (Gopay/OVO),150000,1,7500,142500
2022-05-25,2022,5,Wednesday,Kamera,Instax Mini Evo,Website,Transfer Bank,2900000,2,0,5800000
2022-05-25,2022,5,Wednesday,Film,Instax Mini Film (10s),Jakarta Official Store,Kartu Kredit,95000,2,0,190000
2022-05-26,2022,5,Thursday,Film,Instax Mini Film (20s),Surabaya Branch,E-Wallet (Gopay/OVO),185000,4,0,740000
2022-05-26,2022,5,Thursday,Film,Instax Mini Film (20s),Tokopedia Official,Transfer Bank,185000,2,0,370000
2022-05-26,2022,5,Thursday,Film,Instax Square Film (10s),Tokopedia Official,Paylater,150000,2,0,300000
2022-05-26,2022,5,Thursday,Film,Instax Square Film (10s),Website,Kartu Kredit,150000,3,0,450000
2022-05-26,2022,5,Thursday,Film,Instax Mini Film (10s),Website,Kartu Kredit,95000,4,19000,361000
2022-05-26,2022,5,Thursday,Film,Instax Square Film (10s),Shopee Mall,Kartu Kredit,150000,1,0,150000
2022-05-26,2022,5,Thursday,Film,Instax Mini Film (10s),Website,E-Wallet (Gopay/OVO),95000,4,0,380000
2022-05-27,2022,5,Friday,Film,Instax Mini Film (20s),Shopee Mall,E-Wallet (Gopay/OVO),185000,1,9250,175750
2022-05-27,2022,5,Friday,Kamera,Instax Square SQ1,Website,Paylater,1900000,1,0,1900000
2022-05-27,2022,5,Friday,Film,Instax Square Film (10s),Surabaya Branch,Kartu Kredit,150000,4,30000,570000
2022-05-27,2022,5,Friday,Film,Instax Square Film (10s),Jakarta Official Store,E-Wallet (Gopay/OVO),150000,2,0,300000
2022-05-28,2022,5,Saturday,Aksesoris,Acrylic Frame,Shopee Mall,Kartu Kredit,50000,2,0,100000
2022-05-28,2022,5,Saturday,Aksesoris,Camera Case / Bag,Jakarta Official Store,Transfer Bank,150000,1,0,150000
2022-05-28,2022,5,Saturday,Film,Instax Mini Film (20s),Jakarta Official Store,Kartu Kredit,185000,1,0,185000
2022-05-28,2022,5,Saturday,Aksesoris,Camera Case / Bag,Surabaya Branch,E-Wallet (Gopay/OVO),150000,5,0,750000
2022-05-28,2022,5,Saturday,Film,Instax Mini Film (20s),Shopee Mall,Paylater,185000,1,9250,175750
2022-05-28,2022,5,Saturday,Film,Instax Mini Film (10s),Shopee Mall,Kartu Kredit,95000,2,9500,180500
2022-05-28,2022,5,Saturday,Film,Instax Mini Film (10s),Website,Transfer Bank,95000,1,4750,90250
2022-05-28,2022,5,Saturday,Aksesoris,Instax Photo Album,Website,Kartu Kredit,75000,2,0,150000
2022-05-29,2022,5,Sunday,Aksesoris,Acrylic Frame,Surabaya Branch,Kartu Kredit,50000,5,0,250000
2022-05-29,2022,5,Sunday,Aksesoris,Camera Case / Bag,Jakarta Official Store,Transfer Bank,150000,1,0,150000
2022-05-29,2022,5,Sunday,Film,Instax Mini Film (20s),Shopee Mall,Transfer Bank,185000,1,0,185000
2022-05-29,2022,5,Sunday,Kamera,Instax Mini 11,Website,Paylater,1100000,1,55000,1045000
2022-05-29,2022,5,Sunday,Kamera,Instax Mini Evo,Website,E-Wallet (Gopay/OVO),2900000,1,0,2900000
2022-05-29,2022,5,Sunday,Aksesoris,Acrylic Frame,Shopee Mall,Transfer Bank,50000,1,0,50000
2022-05-29,2022,5,Sunday,Film,Instax Mini Film (10s),Tokopedia Official,Transfer Bank,95000,4,0,380000
2022-05-29,2022,5,Sunday,Film,Instax Mini Film (20s),Website,Transfer Bank,185000,1,0,185000
2022-05-29,2022,5,Sunday,Aksesoris,Instax Photo Album,Tokopedia Official,E-Wallet (Gopay/OVO),75000,1,0,75000
2022-05-30,2022,5,Monday,Kamera,Instax Mini 11,Shopee Mall,Kartu Kredit,1100000,1,0,1100000
2022-05-30,2022,5,Monday,Film,Instax Square Film (10s),Surabaya Branch,Paylater,150000,3,0,450000
2022-05-30,2022,5,Monday,Kamera,Instax Mini Evo,Surabaya Branch,Paylater,2900000,1,0,2900000
2022-05-31,2022,5,Tuesday,Aksesoris,Camera Case / Bag,Tokopedia Official,Kartu Kredit,150000,3,0,450000
2022-05-31,2022,5,Tuesday,Aksesoris,Camera Case / Bag,Jakarta Official Store,Kartu Kredit,150000,1,0,150000
2022-05-31,2022,5,Tuesday,Film,Instax Mini Film (20s),Surabaya Branch,Kartu Kredit,185000,1,0,185000
2022-05-31,2022,5,Tuesday,Aksesoris,Acrylic Frame,Shopee Mall,E-Wallet (Gopay/OVO),50000,2,0,100000
2022-06-01,2022,6,Wednesday,Film,Instax Square Film (10s),Jakarta Official Store,Kartu Kredit,150000,2,0,300000
2022-06-01,2022,6,Wednesday,Aksesoris,Camera Case / Bag,Surabaya Branch,Kartu Kredit,150000,1,0,150000
2022-06-01,2022,6,Wednesday,Film,Instax Mini Film (10s),Jakarta Official Store,E-Wallet (Gopay/OVO),95000,4,0,380000
2022-06-01,2022,6,Wednesday,Film,Instax Mini Film (20s),Surabaya Branch,E-Wallet (Gopay/OVO),185000,3,0,555000
2022-06-02,2022,6,Thursday,Film,Instax Mini Film (20s),Jakarta Official Store,Kartu Kredit,185000,3,0,555000
2022-06-02,2022,6,Thursday,Kamera,Instax Mini Evo,Tokopedia Official,Kartu Kredit,2900000,1,0,2900000
2022-06-02,2022,6,Thursday,Kamera,Instax Wide 300,Surabaya Branch,Paylater,1800000,1,0,1800000
2022-06-02,2022,6,Thursday,Film,Instax Mini Film (10s),Surabaya Branch,E-Wallet (Gopay/OVO),95000,4,0,380000
2022-06-02,2022,6,Thursday,Aksesoris,Acrylic Frame,Surabaya Branch,Transfer Bank,50000,2,0,100000
2022-06-02,2022,6,Thursday,Film,Instax Square Film (10s),Jakarta Official Store,Transfer Bank,150000,2,0,300000
